"Month","temperature"
"1983-01",-3.7
"1983-02",-2.5
"1983-03",1.4
"1983-04",5.6
"1983-05",10.1
"1983-06",11.8
"1983-07",21.9
"1983-08",20.8
"1983-09",16.4
"1983-10",9.6
"1983-11",3.9
"1983-12",-6.8
"1984-01",-9.5
"1984-02",-1.4
"1984-03",-4.3
"1984-04",7.5
"1984-05",10.5
"1984-06",19.1
"1984-07",19.6
"1984-08",20.5
"1984-09",14.4
"1984-10",11.3
"1984-11",3.4
"1984-12",-0.6
"1985-01",-7.6
"1985-02",-6.5
"1985-03",0.9
"1985-04",8.9
"1985-05",14.6
"1985-06",16.2
"1985-07",19.7
"1985-08",19.2
"1985-09",16.6
"1985-10",9.4
"1985-11",5.0
"1985-12",-5.6
"1986-01",-5.5
"1986-02",-6.1
"1986-03",0.7
"1986-04",7.8
"1986-05",14.6
"1986-06",17.2
"1986-07",20.9
"1986-08",18.4
"1986-09",15.3
"1986-10",9.4
"1986-11",1.5
"1986-12",-1.8
"1987-01",-5.2
"1987-02",-5.2
"1987-03",2.0
"1987-04",8.8
"1987-05",15.4
"1987-06",19.9
"1987-07",22.8
"1987-08",19.4
"1987-09",15.9
"1987-10",6.8
"1987-11",4.3
"1987-12",-0.2
"1988-01",-5.3
"1988-02",-6.5
"1988-03",-0.4
"1988-04",6.6
"1988-05",14.5
"1988-06",18.1
"1988-07",22.7
"1988-08",21.2
"1988-09",15.4
"1988-10",6.7
"1988-11",4.6
"1988-12",-2.8
"1989-01",-2.2
"1989-02",-6.6
"1989-03",-0.7
"1989-04",5.0
"1989-05",13.1
"1989-06",18.4
"1989-07",21.3
"1989-08",19.3
"1989-09",15.0
"1989-10",9.5
"1989-11",2.0
"1989-12",-9.9
"1990-01",-1.4
"1990-02",-6.6
"1990-03",1.8
"1990-04",8.1
"1990-05",11.5
"1990-06",17.7
"1990-07",20.0
"1990-08",19.5
"1990-09",15.0
"1990-10",9.1
"1990-11",4.8
"1990-12",-1.4
"1991-01",-6.0
"1991-02",-2.2
"1991-03",1.5
"1991-04",8.8
"1991-05",16.8
"1991-06",19.7
"1991-07",20.8
"1991-08",20.7
"1991-09",14.9
"1991-10",10.5
"1991-11",2.0
"1991-12",-2.7
"1992-01",-4.3
"1992-02",-4.4
"1992-03",-0.7
"1992-04",5.3
"1992-05",12.9
"1992-06",15.9
"1992-07",18.0
"1992-08",17.3
"1992-09",15.0
"1992-10",7.5
"1992-11",2.9
"1992-12",-1.7
"1993-01",-3.7
"1993-02",-7.8
"1993-03",-2.2
"1993-04",6.4
"1993-05",12.5
"1993-06",17.4
"1993-07",21.0
"1993-08",20.5
"1993-09",13.2
"1993-10",8.0
"1993-11",2.8
"1993-12",-3.2
"1994-01",-11.5
"1994-02",-8.7
"1994-03",-1.3
"1994-04",7.2

